protein,G10_2,G10_3,G11_2,G11_3,G12_2,G12_3,G13_2,G13_3,G16_2,G16_3,G17_2,G17_3,G18_2,G18_3,G19_2,G19_3,G20,G20_2,G21,G21_2,G22,G22_2,G23,G23_2,G26,G26_2,G27,G27_2,G28,G28_2,G29,G29_2,G32,G32_2,G33,G33_2,G34,G34_2,G35,G35_2,G4_2,G4_3,G5_2,G5_3,G6_2,G6_3,G7_2,G7_3,SumNSAFpH7.1,SumNSAFpH7.5,clusterpH7.1,clusterpH7.5,uniprotID
TRINITY_DN100360_c0_g1::TRINITY_DN100360_c0_g1_i1::g.40439::m.40439,8.1121,0,0,0,0,0,8.3401,8.7017,0,0,7.7747,0,7.6923,0,7.6957,7.9204,0,0,8.1319,8.1231,9.0758,0,7.9368,16.0353,15.7738,0,8.125,8.2272,0,8.5193,0,7.7955,8.6298,8.4748,8.5459,8.4684,8.6887,8.5266,8.3318,8.6517,0,8.0704,0,0,0,0,0,0,115.9749,98.3252,1,1,NA
TRINITY_DN100388_c0_g1::TRINITY_DN100388_c0_g1_i1::g.40428::m.40428,14.8722,7.6168,7.2017,0,0,7.6524,0,7.9766,0,0,0,0,0,0,0,0,0,0,14.9085,14.8923,8.3194,8.364,14.5508,7.3495,7.2297,14.5387,0,0,7.8354,0,0,7.1459,0,7.7685,15.6675,7.7627,7.9646,7.8161,15.2749,15.8615,7.3783,0,22.5691,0,0,0,7.0773,14.6569,123.2945,127.4975,1,1,A0A210PVC5
TRINITY_DN100393_c0_g1::TRINITY_DN100393_c0_g1_i1::g.40414::m.40414,4.1416,4.2423,4.0111,8.2162,4.1415,8.5242,8.516,4.4427,0,7.9933,3.9693,4.0042,7.8546,4.0155,7.8581,0,11.9799,8.0723,12.4552,8.2945,0,13.9753,8.1042,0,4.0266,4.0487,16.5929,8.4008,0,13.0486,12.0276,11.94,4.4059,0,0,4.3235,4.436,8.7065,0,0,4.1095,4.1203,0,0,8.4403,4.3723,7.8836,4.0817,134.2645,114.9529,1,1,A0A2R2MLD2
TRINITY_DN100421_c0_g1::TRINITY_DN100421_c0_g1_i1::g.40377::m.40377,10.9672,11.2338,10.6216,5.4392,21.9337,11.2862,16.9132,17.6465,21.5493,21.1665,21.022,21.2066,20.7993,26.5829,15.6064,32.1241,21.149,32.0636,16.491,16.4731,30.675,18.5036,21.4603,27.0988,15.9941,26.8031,16.477,16.6842,17.3343,11.5178,21.2331,21.0784,23.3342,28.6438,28.8841,22.8977,23.4934,23.0553,22.5284,35.0903,16.323,10.9108,16.6432,5.4819,11.1751,11.578,5.219,10.8084,453.2812,421.969,2,11,A0A2C9MAK9
TRINITY_DN100468_c0_g1::TRINITY_DN100468_c0_g1_i1::g.40360::m.40360,0,7.9796,15.0894,7.7272,0,0,0,0,0,0,0,0,0,7.5529,0,7.6061,7.5112,0,0,0,0,0,0,0,0,0,7.8026,0,0,16.3625,0,0,0,0,0,0,0,0,0,0,7.7297,0,0,7.7878,0,0,0,0,31.5215,61.6275,32,6,K1QY14
TRINITY_DN100489_c0_g1::TRINITY_DN100489_c0_g1_i1::g.40370::m.40370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5111,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2299,0,0,0,0,0,0,0,0,0,0,29.741,0,7,NA,NA
TRINITY_DN100526_c0_g1::TRINITY_DN100526_c0_g1_i1::g.40577::m.40577,0,0,3.4443,0,3.5563,10.9795,0,11.4447,3.494,3.4319,0,0,6.7447,0,3.3738,0,6.8581,10.3974,10.6952,10.6836,0,0,6.9591,7.03,0,0,0,0,3.7474,0,6.8854,6.8352,0,0,3.7466,0,0,3.7381,3.6527,0,0,0,0,3.5553,0,0,3.3848,3.5049,74.8775,45.6112,1,37,Q6WEV1
TRINITY_DN10058_c0_g1::TRINITY_DN10058_c0_g1_i1::g.11669::m.11669,5.0337,5.156,0,4.9929,5.0335,0,10.3503,5.3995,4.9453,4.8574,9.6485,9.7333,9.5464,9.7607,9.5506,9.8294,9.7068,9.8109,10.0919,10.081,11.2632,5.6618,4.9249,14.9252,4.8939,4.9208,5.0417,5.1051,5.304,0,4.8727,4.8372,10.7098,10.5174,10.6057,5.2547,10.7829,5.2909,10.3399,5.3685,9.9891,5.0078,5.0925,5.0321,10.2582,5.314,4.7908,4.9608,163.4405,156.1364,1,1,K1PBV0
TRINITY_DN100647_c0_g1::TRINITY_DN100647_c0_g1_i1::g.40043::m.40043,4.9325,0,0,0,0,0,10.1422,5.291,0,0,4.7273,4.7688,4.6772,4.7823,4.6793,4.8159,9.5117,4.8069,0,9.8783,0,5.548,0,4.8751,14.3867,4.8219,4.9403,5.0025,5.1974,0,0,0,5.2473,5.153,0,0,0,0,0,0,0,0,4.9902,0,5.026,0,9.389,9.7222,74.1456,83.1674,1,35,V3ZZF2
TRINITY_DN100683_c0_g1::TRINITY_DN100683_c0_g1_i1::g.40041::m.40041,17.5279,17.954,16.9755,17.3861,17.5274,18.0377,18.0206,18.8019,17.2202,16.9143,16.7988,8.4732,16.6209,25.4911,16.6283,17.1137,25.3504,17.0815,17.5708,17.5517,19.6101,29.5727,17.1491,8.6619,17.0413,25.7023,17.5558,17.7766,27.7039,27.6118,16.9675,16.8439,18.6465,18.3116,18.4652,18.2977,18.7737,18.4236,18.0026,9.347,17.3918,17.4379,8.8664,17.5225,17.8602,18.5041,16.6823,17.2742,430.0811,402.2492,2,11,NA
TRINITY_DN100694_c0_g1::TRINITY_DN100694_c0_g1_i1::g.40049::m.40049,0,0,5.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5916,5.5916,5.495,22,14,A0A2R2YWY8
TRINITY_DN100752_c0_g1::TRINITY_DN100752_c0_g1_i1::g.40239::m.40239,16.9235,26.0023,24.5853,16.7866,16.923,8.7079,26.0988,9.0768,16.6264,8.1655,32.4391,16.362,24.0716,8.204,40.1372,24.7854,16.3175,8.2462,25.4473,16.9464,9.467,19.0353,16.5578,25.0897,16.4537,16.544,16.9505,8.5818,8.9162,0,40.9561,40.6577,18.0036,26.5202,8.9142,35.3336,36.2527,35.5767,34.7636,27.074,8.396,16.8366,8.5607,25.3775,8.6222,17.866,16.107,16.6785,495.0674,405.8732,2,11,K1RBU9
TRINITY_DN100754_c0_g1::TRINITY_DN100754_c0_g1_i1::g.40246::m.40246,0,0,0,18.3702,0,0,0,0,0,8.9359,8.8748,17.9056,0,17.956,8.7847,9.0412,0,0,9.2827,0,20.7201,0,9.0599,0,0,9.0524,0,0,9.7574,9.7249,8.964,0,0,9.674,9.7552,9.6667,0,0,9.5108,9.876,0,0,0,9.2572,0,0,0,9.126,113.4611,101.492,1,1,A0A210PFK7
TRINITY_DN100855_c0_g1::TRINITY_DN100855_c0_g1_i1::g.40282::m.40282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9811,0,0,0,0,0,14.9811,NA,28,A0A210PQQ4
TRINITY_DN100903_c0_g1::TRINITY_DN100903_c0_g1_i1::g.40291::m.40291,0,0,0,0,2.8869,0,0,0,0,0,0,0,2.7376,2.799,0,2.8187,0,0,0,0,3.2299,0,2.8246,2.8533,2.8068,0,2.8915,0,0,0,0,0,0,0,0,3.0137,0,3.0345,0,3.079,0,0,0,0,0,0,0,0,23.4389,8.712,7,23,NA
TRINITY_DN100934_c0_g1::TRINITY_DN100934_c0_g1_i1::g.40066::m.40066,0,0,4.1153,4.2148,0,0,0,0,4.1746,0,0,4.1082,0,0,0,0,0,4.141,0,0,4.754,4.7794,4.1574,4.1997,0,4.1539,4.256,4.3095,0,8.925,4.1133,0,0,0,8.9528,0,4.5512,4.4663,8.7285,0,0,0,4.2989,0,0,0,0,4.1877,48.7051,46.725,1,6,A0A210PPH8
TRINITY_DN100955_c0_g1::TRINITY_DN100955_c0_g1_i1::g.40074::m.40074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7307,2.8105,2.7754,2.8052,0,0,0,0,2.8163,0,0,0,0,0,3.0331,0,0,0,0,0,0,0,0,0,0,3.07,0,0,0,0,0,0,0,0,11.6443,5.5806,9,9,A0A1Y1I4K7
TRINITY_DN101036_c0_g1::TRINITY_DN101036_c0_g1_i1::g.40460::m.40460,0,0,0,0,0,0,0,0,0,0,0,0,5.7455,0,5.748,0,0,0,6.0738,6.0672,0,6.8151,5.9281,0,0,0,0,0,0,0,0,0,6.4457,0,0,6.3251,0,0,6.2231,0,0,0,0,6.0572,0,0,0,0,24.5317,24.8952,7,25,A0A210PGH1
TRINITY_DN101057_c0_g1::TRINITY_DN101057_c0_g1_i1::g.40474::m.40474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9531,8.0383,8.2686,16.5192,0,0,8.0702,0,0,24.1904,8.2616,8.3655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.129,8.129,73.3281,30,35,NA
TRINITY_DN101103_c0_g1::TRINITY_DN101103_c0_g1_i1::g.40473::m.40473,0,0,0,0,0,0,0,0,9.3624,9.1961,9.1333,0,0,0,0,0,64.3195,65.0091,47.7652,38.1706,10.6618,0,0,0,64.8564,65.2123,66.8144,48.3247,0,0,0,0,10.1379,9.9558,20.0787,0,0,0,0,0,0,0,0,9.5268,0,0,0,0,10.6618,490.098,13,11,W6KFN3
TRINITY_DN101123_c0_g1::TRINITY_DN101123_c0_g1_i1::g.40697::m.40697,9.0885,0,8.8021,0,9.0883,0,9.344,9.7492,8.929,26.3111,26.1315,8.787,25.8547,17.6235,25.8662,26.6214,26.2893,26.5712,18.2215,18.2017,10.1682,10.2227,0,17.9655,26.5088,26.6542,18.206,27.6525,0,9.5448,35.1919,17.4678,9.6686,18.9898,9.5746,18.9754,0,19.106,18.6693,29.0795,18.036,9.0419,9.1948,9.0858,0,9.5947,0,8.957,310.1147,360.6998,2,11,A0A2C9LJC5
TRINITY_DN101174_c0_g1::TRINITY_DN101174_c0_g1_i1::g.40701::m.40701,0,0,0,6.7146,0,0,0,0,0,0,0,0,0,0,0,6.6094,6.527,0,0,6.7786,0,0,0,0,0,0,0,6.8654,0,0,0,0,7.2014,0,0,0,0,0,0,0,0,0,0,6.7673,0,0,0,0,6.6094,40.8543,3,6,V4A1J6
TRINITY_DN101213_c0_g1::TRINITY_DN101213_c0_g1_i1::g.40401::m.40401,7.2174,7.3928,6.9899,0,0,14.8546,0,0,0,0,0,6.9779,0,0,0,0,0,0,7.235,7.2272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1613,7.1803,14.6036,7.2152,7.3542,15.2386,6.8692,0,44.3166,71.9656,20,6,A0A210QXB7
TRINITY_DN101285_c0_g1::TRINITY_DN101285_c0_g1_i1::g.40385::m.40385,8.4618,0,16.3902,0,0,0,0,0,0,0,8.1098,0,8.0239,0,0,0,0,0,0,0,9.467,0,0,0,8.2269,8.272,8.4752,25.7454,17.8324,0,0,0,0,0,8.9142,8.8334,0,0,0,9.0247,8.396,0,0,0,0,0,0,8.3393,52.6873,109.8249,7,1,NA
TRINITY_DN101286_c0_g1::TRINITY_DN101286_c0_g1_i1::g.40398::m.40398,5.4836,0,0,0,0,0,5.6377,0,5.3873,0,0,0,0,0,5.2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8733,0,0,0,0,0,0,0,0,11.578,5.219,0,33.5101,10.8709,20,15,NA
TRINITY_DN101354_c0_g1::TRINITY_DN101354_c0_g1_i1::g.40341::m.40341,7.7288,7.9167,14.9706,0,0,0,0,8.2906,0,7.4583,7.4073,14.9448,7.3289,0,7.3321,0,14.9042,7.532,0,0,8.647,8.6933,0,7.6389,0,0,7.7412,0,0,16.2337,7.4817,0,8.2221,0,8.1421,8.0683,16.5564,8.1238,15.8763,16.486,0,7.6891,15.6385,7.7265,0,0,0,15.2339,143.9226,146.0905,1,1,K1QW45
TRINITY_DN101391_c0_g1::TRINITY_DN101391_c0_g1_i1::g.40331::m.40331,0,0,4.9512,0,0,5.261,0,5.4839,0,4.9333,0,0,0,0,0,0,0,0,0,0,0,5.7502,0,0,4.9704,0,0,0,0,0,0,0,5.4386,5.3409,5.3857,0,0,0,0,0,0,0,0,5.1107,0,0,0,0,16.4951,36.1308,17,10,A0A210QZH1
TRINITY_DN101565_c0_g1::TRINITY_DN101565_c0_g1_i1::g.40529::m.40529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2652,0,0,0,10.0415,0,0,0,0,0,0,0,0,0,0,10.1637,0,0,0,0,0,0,0,0,20.2052,9.2652,36,5,NA
TRINITY_DN101624_c0_g1::TRINITY_DN101624_c0_g1_i1::g.40819::m.40819,5.7068,0,0,5.6606,0,11.7455,5.8672,6.1216,0,0,0,0,0,0,0,0,0,5.5614,0,0,12.7694,0,0,0,0,0,5.7159,0,0,0,5.5243,5.4841,0,0,0,0,0,5.9984,0,0,0,0,0,5.705,0,0,0,0,53.5105,28.3497,20,6,K1Q166
TRINITY_DN101664_c0_g1::TRINITY_DN101664_c0_g1_i1::g.40812::m.40812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6141,0,0,0,0,0,0,0,0,0,6.5052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1193,0,5,NA,C0IL37
TRINITY_DN101687_c0_g1::TRINITY_DN101687_c0_g1_i1::g.40826::m.40826,3.8951,3.9898,0,0,3.895,4.0084,0,4.1782,0,0,7.4661,3.7659,0,0,0,0,0,0,3.9046,3.9004,4.3578,4.3811,3.8109,0,0,0,0,0,0,0,3.7706,0,0,0,4.1034,0,0,0,4.0006,0,0,3.8751,7.8813,0,0,4.112,3.7072,3.8387,40.2496,38.8771,20,6,NA
TRINITY_DN101701_c0_g1::TRINITY_DN101701_c0_g1_i1::g.40804::m.40804,0,0,0,0,0,3.2584,0,6.793,0,0,0,0,0,3.0699,0,0,0,0,0,3.1706,0,3.5614,0,0,3.0784,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2521,0,0,0,0,0,0,0,0,0,19.9348,6.249,17,30,A0A210PYQ1
TRINITY_DN101736_c0_g1::TRINITY_DN101736_c0_g1_i1::g.40147::m.40147,0,7.6168,0,7.3759,0,7.6524,7.6451,0,0,0,7.1268,7.1894,0,7.2096,0,7.2604,14.3396,7.2467,0,0,0,8.364,0,0,14.4593,14.5387,14.8959,15.0832,0,0,14.3967,14.2918,7.9107,0,0,0,7.9646,0,0,7.9308,0,0,0,7.4338,0,0,0,0,82.7154,125.2168,1,4,A0A023FIW8
TRINITY_DN101746_c0_g1::TRINITY_DN101746_c0_g1_i1::g.40137::m.40137,3.6087,0,0,0,0,3.7137,0,3.871,0,0,0,0,0,3.4988,3.4235,3.5234,0,3.5168,0,3.6136,0,0,0,0,3.5085,3.5278,0,3.6599,0,3.7899,0,0,0,0,3.8017,0,0,0,0,3.8488,0,0,3.6509,0,3.6771,0,3.4346,3.5565,36.3373,28.8879,8,8,A0A1L1RUD9
TRINITY_DN101810_c0_g1::TRINITY_DN101810_c0_g1_i1::g.40588::m.40588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6961,6.732,0,0,0,0,0,0,0,0,0,0,0,0,6.3052,0,6.4105,0,0,0,0,0,0,0,0,0,0,0,19.8386,6.3052,7,24,A0A210PXP1
TRINITY_DN101843_c0_g1::TRINITY_DN101843_c0_g1_i1::g.40596::m.40596,0,0,0,0,0,15.0763,0,0,7.1965,7.0687,0,0,0,0,0,7.152,0,0,0,0,0,0,0,0,0,0,0,0,15.437,0,0,7.0393,0,0,7.7168,0,0,7.6994,0,7.8124,0,7.2875,0,0,0,0,0,0,60.2164,29.2695,1,6,K1PNP9
TRINITY_DN101860_c0_g1::TRINITY_DN101860_c0_g1_i1::g.40589::m.40589,0,0,0,0,0,0,0,0,0,0,0,6.1225,0,0,6.0076,0,0,0,0,0,0,0,0,0,0,0,0,6.4225,0,0,0,6.0855,6.7368,0,0,0,0,0,0,0,6.2835,0,0,0,0,0,6.0271,0,18.1202,25.5653,12,10,A0A210QKL5
TRINITY_DN101955_c0_g1::TRINITY_DN101955_c0_g1_i1::g.40224::m.40224,0,0,0,0,0,0,0,0,6.0271,0,0,0,0,5.9479,0,0,0,0,6.1498,6.1431,41.1813,27.6012,18.0066,0,5.9645,5.9972,6.1445,12.4436,32.3212,32.2137,11.8773,23.5815,19.5789,19.2272,12.9256,19.2126,19.7124,19.3448,18.9027,19.6286,0,0,0,0,0,0,0,0,252.3126,113.6643,2,18,A0A210PZ88
TRINITY_DN101969_c0_g1::TRINITY_DN101969_c0_g1_i1::g.40230::m.40230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3721,7.2801,7.3582,7.5689,7.5607,16.8949,8.4927,7.3873,7.4626,7.3409,7.3812,7.5625,15.3152,7.956,23.7886,7.3091,14.5117,16.0647,7.8881,15.9085,23.6463,0,7.9363,0,16.1055,0,0,0,0,0,0,0,0,117.8295,123.3064,1,18,A0A210PDJ5
TRINITY_DN102034_c0_g1::TRINITY_DN102034_c0_g1_i1::g.40511::m.40511,0,9.1402,8.6421,17.7022,8.923,18.3657,9.1741,0,17.5333,17.2218,17.1042,8.6272,16.9231,17.3031,16.9306,17.4249,17.2076,8.696,8.9451,8.9354,0,0,17.4609,8.8194,17.3512,17.4464,0,9.0499,28.2076,18.7425,17.276,8.5751,0,0,0,9.3152,0,0,9.1649,9.5169,8.854,8.8775,9.0277,0,0,0,8.4928,8.7941,222.6338,210.7319,2,1,K1PTB7
TRINITY_DN102207_c0_g1::TRINITY_DN102207_c0_g1_i1::g.40666::m.40666,13.7282,7.0309,0,0,0,0,14.114,7.363,6.7436,6.6238,13.1571,6.6363,6.5089,6.655,13.0235,13.4038,26.4732,26.757,6.8809,13.7468,23.0385,7.7206,13.4315,20.3525,20.0206,20.1305,20.625,27.8459,14.4654,36.0434,13.2892,19.7887,21.9064,21.5129,21.6934,14.3311,22.0559,14.4297,14.0999,14.6414,0,0,6.9444,6.862,6.9942,0,0,0,267.9876,302.7691,2,11,A0A210R0V5
TRINITY_DN102246_c0_g1::TRINITY_DN102246_c0_g1_i1::g.40676::m.40676,39.6591,40.6232,38.4093,29.5037,39.6579,40.8127,30.5804,42.5418,38.9629,28.7031,28.5071,28.7574,37.6069,19.2256,47.0294,38.722,38.239,28.9868,39.756,29.7846,33.2778,44.608,38.802,39.1975,28.9186,29.0773,39.7223,30.1664,31.3418,31.2376,38.3912,38.1115,31.6426,31.0742,31.3349,20.7005,31.8585,31.2644,40.7331,21.1487,39.3512,29.5915,40.1229,39.647,30.3082,41.8678,37.7458,29.3138,816.5824,761.4856,2,11,K1PTY5
TRINITY_DN102257_c0_g1::TRINITY_DN102257_c0_g1_i1::g.40660::m.40660,0,0,0,0,0,0,0,6.7494,6.1816,0,0,0,0,0,0,0,6.0668,0,0,0,0,14.1545,0,0,0,0,6.3021,0,0,0,0,6.0465,6.6936,0,0,0,0,0,0,6.7106,0,0,0,0,6.4114,0,0,0,40.0724,25.2441,8,10,A0A210R633
TRINITY_DN10243_c0_g1::TRINITY_DN10243_c0_g1_i1::g.21609::m.21609,13.4461,27.5459,19.5335,33.3432,6.7228,13.8372,6.912,21.6351,33.0251,25.9507,19.3301,12.9999,12.7503,26.0731,6.378,19.6925,19.4469,13.1036,26.9579,20.1964,7.5217,7.562,19.7332,26.5791,19.6092,19.7168,40.4025,13.6368,28.3364,14.1211,19.5243,25.8427,14.3042,7.0236,7.0825,14.0366,21.6027,28.2664,6.9051,14.3406,13.3417,20.0655,20.405,13.442,6.8505,14.1949,0,19.8772,355.5257,440.9878,2,11,NA
TRINITY_DN102528_c0_g1::TRINITY_DN102528_c0_g1_i1::g.39973::m.39973,0,0,0,0,0,7.9537,0,0,0,0,0,0,0,0,0,0,7.4521,0,0,7.7393,0,8.6933,0,0,0,0,7.7412,7.8385,0,0,0,0,0,0,0,0,0,8.1238,0,0,0,0,0,0,0,0,0,0,24.7708,30.7711,7,35,NA
TRINITY_DN102693_c0_g1::TRINITY_DN102693_c0_g1_i1::g.40254::m.40254,17.2204,17.639,16.6777,17.0811,8.6099,17.7213,17.7044,18.4721,25.3772,16.6176,24.7561,24.9736,16.3293,16.6959,16.3365,16.8135,16.6038,16.7818,17.2625,0,9.633,9.6846,0,8.51,16.7424,8.4171,0,8.7324,0,0,8.3349,8.2742,9.1597,8.9952,18.1413,17.9767,0,0,0,0,25.63,17.1319,17.4218,17.2151,17.5469,18.1794,24.5844,16.9711,250.4014,359.2919,2,11,A0A2C9KS06
TRINITY_DN102712_c0_g1::TRINITY_DN102712_c0_g1_i1::g.40172::m.40172,4.4016,0,4.2629,4.366,4.4015,4.5297,4.5253,4.7216,0,4.2475,12.6556,4.2556,8.3477,4.2676,16.7028,8.5952,8.488,4.2895,0,4.4076,4.9245,4.9509,4.3065,4.3504,0,0,0,4.4641,0,0,0,4.2299,4.6825,4.5984,4.637,0,0,4.6266,9.0417,4.6944,0,8.758,4.4531,4.4003,0,0,0,0,92.9098,87.3677,1,1,K1QN08
TRINITY_DN1028_c0_g1::TRINITY_DN1028_c0_g1_i1::g.33533::m.33533,3.1766,0,0,3.1509,0,0,0,0,0,0,0,3.0712,0,0,0,6.203,0,0,0,0,0,3.573,0,0,0,0,0,3.2216,0,0,3.075,3.0526,0,0,0,0,0,3.3389,0,3.3879,0,0,0,0,0,0,0,0,22.6304,12.6203,7,15,A0A210QGT5
